PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
15,9.19976945826784,5,109,1.678486,63.5368556715548
16,9.6341192079708,2,46,1.827074,65.582877577981
16,8.59853308275342,9,105,1.423996,60.5997605598532
14,9.01910383300856,4,87,2.053668,65.8557263668627
14,10.7486992501654,6,86,1.765365,69.295681580635
16,8.60158462496474,6,101,2.341257,61.4279845322017
19,10.7085336251184,5,115,1.772209,56.1418244860282
16,10.7196604167111,7,124,1.47752,68.2011690805666
15,9.05025008320808,1,39,1.860318,61.7889026800791
14,9.73504225024953,4,31,2.138741,70.0093481157507
15,9.0184936253354,5,141,1.236472,66.5913611650467
15,8.91566949989647,1,23,1.315907,66.7564861476421
14,8.31018929183483,3,27,1.493981,66.4548066644264
16,8.58252641698346,6,104,1.509984,61.9223595131189
17,9.60092312516645,0,0,1.788401,60.1677157203941
18,9.46654395805672,0,0,1.749803,55.4780000820756
16,9.13294887496158,2,37,1.61456,62.9074973112438
19,10.0334395421669,1,16,1.873597,52.1101492310041
16,9.28061316628009,1,15,1.445267,62.4887084413785
19,9.22796354210004,2,74,1.713025,48.7324517269276
