PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
14,7.46532012522221,3,58,1.735514,50.4218393138477
13,8.73394483374432,6,122,1.861237,61.2600577207139
13,8.70119387516752,3,62,1.818376,60.9947627123732
13,7.2645748751238,3,33,1.594503,62.5235449809295
13,7.91787466732785,5,46,1.515896,59.6576859601415
14,7.16609774995595,3,34,2.580707,55.6692946369627
13,7.24896124983206,2,43,1.968527,58.5811218748299
15,7.94877879181877,4,69,3.489411,50.4621639226874
13,7.15080429194495,2,29,1.394293,57.2720255989295
12,8.69888491695747,3,66,2.082564,61.7625555411602
15,7.59992274967954,3,39,2.010992,52.2356056918701
14,9.3152530407533,5,80,2.343916,60.5343185099108
14,9.39934633299708,4,66,1.515502,59.2366696468421
12,6.86576362513006,8,145,1.913719,60.5890692289298
14,6.91520829172805,3,72,2.359006,51.0729106608778
13,7.16597141604871,2,12,1.908065,59.8142084379036
14,8.18253841623664,3,38,2.266729,57.008443666356
12,7.19989945925772,4,59,2.219622,61.6927257506177
13,7.6831503752619,2,22,1.797888,56.5115160738619
