PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
41,21.2472655000165,1,8,0.8450783,63.2500803302519
41,20.5139567079023,3,43,0.9403527,65.3175976150101
40,22.6983451251872,2,6,1.222533,81.3764791819267
37,20.2311251251958,2,9,1.146475,74.2298355955328
38,20.8985447087325,2,12,0.9110203,70.2051832218115
43,23.3637976669706,1,11,0.7757025,64.4155067478328
42,22.0118655841798,4,102,1.077185,63.2611209681878
39,22.2156883338466,1,10,0.8846571,67.3862606382523
39,20.7974683749489,2,12,1.237239,65.7105543053685
40,22.5509042078629,1,10,1.241047,64.4148698542267
40,21.1515281246975,3,11,1.156277,67.5564291421324
40,21.2958516250364,1,7,1.115239,66.2814614712261
36,22.3314245832153,0,0,1.114655,71.6189722556414
37,21.6958715002984,2,11,0.9756411,71.801361464266
44,22.8298107078299,2,12,0.7387922,60.1253722138195
39,21.2820366248488,1,10,1.10358,67.5336410387013
43,22.7635380420834,1,8,1.037167,61.3660096234187
38,21.6985708326101,1,8,0.8447704,81.2146448113612
40,21.2647316670045,4,19,0.6643397,63.6971499305218
41,22.6927410000935,3,76,1.060465,69.101388259541
