CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-8379.824,3.036778
-18829.25,2.438317
-7669.786,2.985755
-4921.349,2.985755
-3915.265,2.985755
-3748.464,1.762084
-2863.4,1.762084
-2645.06,2.065615
-2535.311,2.065615
-2374.527,2.065615
-1691.809,2.293568
