CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-9153.843,3.165098
-4700.311,3.159186
-4819.189,2.856011
-6478.617,3.817251
-5850.59,2.494736
-4023.628,1.782501
-3597.035,1.782501
-3151.779,1.782501
-2445.073,2.517027
-2151.084,1.782501
-1638.497,2.494736
