CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-11047.06,2.71021
-9099.446,3.130042
-4874.543,1.860677
-4829.509,1.860677
-4411.585,1.860677
-3593.243,1.860677
-2996.888,2.288764
-2733.623,2.15308
-2526.411,2.15308
-2418.436,2.005177
-2628.293,2.005177
