CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-20804.79,2.925294
-13128.91,3.348089
-7907.978,2.959284
-4565.942,2.925294
-3836.526,3.348089
-3593.934,2.925294
-2569.535,2.443898
-2724.397,1.507438
-1899.046,2.925294
-1978.6,1.634117
-1635.412,2.925294
