CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-9375.374,2.414049
-4176.734,2.414049
-2911.252,2.58825
-2330.678,2.58825
-2530.077,2.58825
-1989.936,2.58825
-1473.521,2.162645
-1360.055,2.162645
-1041.586,1.939199
-986.2172,1.939199
-747.116,2.064067
