CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,BasicFitnessFunctionParallel
SELECTION,BasicSelectionFunctionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
0.1932979,5.748702
1.538799,3.10231
5.087787,3.10231
1.561331,4.241244
0.9658346,3.10231
1.124058,3.10231
1.271112,3.10231
1.476579,3.10231
2.329603,5.025886
3.174401,3.672299
4.719409,2.790531
