CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,BasicFitnessFunctionParallel
SELECTION,BasicSelectionFunctionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
0.08494582,5.485086
0.1022928,5.521424
0.135787,5.702571
0.1191177,5.83871
0.1354154,2.633685
0.2156671,4.252553
0.5412112,4.252553
0.3935476,3.759299
0.4024083,3.364546
0.2731462,4.313932
0.215242,4.313932
