CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-13066.97,2.056603
-6239.706,2.382308
-5906.447,2.382308
-5310.702,2.963455
-3362.855,2.483939
-3048.636,2.288388
-2200.63,2.483939
-2102.034,2.483939
-1454.011,2.378753
-1712.769,2.378753
-1384.536,1.814369
