CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-4775.985,2.145257
-5530.369,2.32329
-4599.221,2.32329
-4015.133,1.827646
-2840.688,1.810049
-2523.145,2.244065
-2058.209,2.01272
-1586.839,1.827646
-1582.491,1.827646
-1377.666,1.827646
-1214.216,2.01272
