CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-11165.67,3.187986
-3056.117,2.036994
-3925.208,1.962559
-3795.093,2.653974
-2819.652,1.962559
-2141.385,1.246635
-2219.352,1.879204
-1802.689,1.246635
-1429.789,1.862095
-1187.391,1.246966
-1402.283,1.862095
