CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-14896.64,3.090342
-7358.254,3.090342
-2749.98,3.648911
-3559.935,3.648911
-2722.812,2.021486
-3318.612,2.052948
-2984.52,2.052948
-2231.447,2.052948
-2083.344,1.880911
-2401.057,1.399644
-2253.817,1.399644
