CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-6299.677,2.202108
-5008.932,1.391983
-3369.235,2.202108
-3266.961,2.202108
-3206.598,2.114848
-1486.653,2.114848
-1815.801,2.202108
-1500.625,1.59974
-1598.2,2.202108
-1498.805,2.053609
-1138.016,2.053609
