CROSS,BasicCrossOperatorParallel
MUTATION,BasicMutationOperatorParallel
FITNESS,FitnessContinuousDistanceParallel
SELECTION,NegativeSelectionParallel
INITIALIZATION,GlobeInitialization

Fitness,Objective
-12624.7,2.416677
-5685.658,2.416677
-4756.61,2.416677
-3906.085,1.914538
-3243.45,1.914538
-2770.631,1.736234
-2570.405,1.914538
-2283.24,1.768667
-2197.589,1.352088
-1888.462,1.352088
-2041.245,1.975084
