PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
21,11.3343509580009,19,572,1.698925,82.5003868501101
22,11.6184076662175,9,448,1.42564,75.472126905383
23,11.7002541250549,11,510,1.644824,71.8685543043134
21,11.3497187499888,11,444,1.97723,82.4942778396819
21,11.7976260827854,7,607,1.441783,77.8824544866525
21,11.4030527905561,14,664,1.666125,79.3123928874376
22,11.4821435408667,5,259,1.335071,74.9169657514854
22,11.8498294577003,12,454,1.330143,78.6148410036483
22,11.217797792051,12,304,1.534216,76.4183294747702
24,11.8658359171823,15,428,1.817864,70.192230923567
21,11.7999396668747,10,564,1.160654,80.294734110967
24,12.0010689161718,13,344,2.331995,69.8373958002776
23,11.5854443749413,13,515,1.630036,71.9505453927685
21,11.8643247080036,8,379,0.91589,78.8017023753907
22,12.2488879160956,8,550,1.876829,78.7618580612947
22,11.7665330423042,13,598,1.382706,77.4008768017996
24,12.0829126248136,7,265,2.022338,70.8589201870685
21,11.7829917501658,14,423,0.9723456,80.4163351921099
23,11.4007857502438,17,636,1.769341,73.3360833002497
23,12.2204908751883,10,677,1.721723,73.927215664931
